position,flow_cell_id,product_code,passed,total_pore_count,timestamp
3B,PAQ50499,FLO-PRO114M,True,6159,1721323692
3B,PAU31700,FLO-PRO114M,True,6065,1721326837
3B,PAU69286,FLO-PRO114M,False,0,1710173493
3B,PAW77367,FLO-PRO114M,True,7190,1726580602
3B,PAW71645,FLO-PRO114M,True,6976,1714483723
3B,PAW97296,FLO-PRO114M,True,8010,1723641172
3B,PAS65530,FLO-PRO114M,True,5177,1709050484
3B,PAQ74172,FLO-PRO114M,True,6149,1712590365
3B,PAS46065,FLO-PRO114M,False,4082,1717001540
3B,PAW40533,FLO-PRO114M,True,8257,1716311069
3B,PAU30952,FLO-PRO114M,True,6548,1709650037
3B,PAU40750,FLO-PRO114M,True,7880,1709052088
3B,PAW56929,FLO-PRO114M,False,105,1721319945
3B,CTC69206,FLO-PRO002,False,0,1724772705
3B,PAQ01388,FLO-PRO114M,True,7330,1716476479
3B,PAW28688,FLO-PRO114M,True,7783,1710945315
3B,PAQ69205,FLO-PRO114M,True,6675,1701700602
3B,PAW19183,FLO-PRO114M,True,6607,1711373554
3B,PAO13005,FLO-PRO114M,False,4267,1726682357
3B,PAS45817,FLO-PRO114M,True,5642,1721322300
3B,PAW71462,FLO-PRO114M,True,7768,1716920390
3B,PAU80971,FLO-PRO114M,True,7044,1710172027
3B,PAS59977,FLO-PRO114M,True,6470,1721325321
3B,PAS46539,FLO-PRO114M,True,6778,1705595337
3C,PAW71113,FLO-PRO114M,True,6903,1715692851
3C,PAQ83059,FLO-PRO114M,True,5798,1721319943
3C,PAW90911,FLO-PRO114M,True,8396,1719853407
3C,PAS39511,FLO-PRO114M,True,5050,1721322306
3C,PAU28931,FLO-PRO114M,True,5699,1721326835
3C,PAQ69219,FLO-PRO114M,True,7127,1701702153
3C,PAU28950,FLO-PRO114M,True,7125,1709650037
3C,PAW70785,FLO-PRO114M,True,7008,1714483720
3C,PAU43373,FLO-PRO114M,True,7024,1709052087
3C,PAS65836,FLO-PRO114M,True,5791,1721325324
3C,PAQ85619,FLO-PRO114M,False,4857,1712590362
3C,PAW62006,FLO-PRO114M,True,6218,1716476474
3C,PAW77388,FLO-PRO114M,False,0,1719320570
3C,PAW99999,FLO-PRO114M,False,0,1723641162
3C,PAQ49633,FLO-PRO114M,False,4028,1726682345
3C,PAQ69219,FLO-PRO114M,True,7193,1701700605
3C,PAW28243,FLO-PRO114M,True,7653,1710945321
3C,PAW71127,FLO-PRO114M,True,5911,1715798140
3C,PAU29750,FLO-PRO114M,True,8049,1702907171
3C,PAS65273,FLO-PRO114M,True,6729,1709050493
3C,PAU41141,FLO-PRO114M,True,6974,1710172036
3C,PAU30286,FLO-PRO114M,True,7653,1708443611
3C,PAW22114,FLO-PRO114M,True,7471,1711373553
3C,PAS31593,FLO-PRO114M,True,5979,1717001528
3C,PAQ85707,FLO-PRO114M,True,6115,1721323702
3C,PAW99820,FLO-PRO114M,True,6475,1726580599
3C,PAU42656,FLO-PRO114M,True,6714,1711989274
3C,PAU49632,FLO-PRO114M,True,7248,1706023636
3C,PAW63505,FLO-PRO114M,True,6381,1716394684
3C,PAW48591,FLO-PRO114M,True,7792,1716311096
3C,PAW71054,FLO-PRO114M,True,7840,1715790197
3C,PAS45599,FLO-PRO114M,True,6119,1705595339
3C,PAU42798,FLO-PRO114M,True,6841,1710173496
3C,CTC69196,FLO-PRO002,False,0,1724772697
3C,PAS46713,FLO-PRO114M,True,5571,1721315914
3D,CTC42342,FLO-PRO002,False,0,1724772697
3D,PAW40151,FLO-PRO114M,True,6860,1716396782
3D,PAW77303,FLO-PRO114M,True,7730,1726580598
3D,PAW62872,FLO-PRO114M,True,7092,1715790190
3D,PAU50185,FLO-PRO114M,True,7906,1706023641
3D,PAW71048,FLO-PRO114M,True,6996,1715692848
3D,PAW97334,FLO-PRO114M,False,1,1723641166
3D,PAW71121,FLO-PRO114M,True,6616,1715798146
3D,PAQ61735,FLO-PRO114M,True,6895,1701700603
3D,PAS32716,FLO-PRO114M,False,4822,1712590367
3D,PAW22213,FLO-PRO114M,True,7877,1711373552
3D,PAU44984,FLO-PRO114M,True,6608,1711989275
3D,PAQ86087,FLO-PRO114M,True,5273,1721319948
3D,PAS32783,FLO-PRO114M,False,4108,1721322310
3D,PAQ62555,FLO-PRO114M,True,6531,1721325321
3D,PAQ49633,FLO-PRO114M,False,4543,1721323695
3D,PAW48483,FLO-PRO114M,True,7903,1716311086
3D,PAU43391,FLO-PRO114M,True,8242,1709052091
3D,PAQ74109,FLO-PRO114M,False,4548,1726682354
3D,PAS64337,FLO-PRO114M,True,6887,1709050489
3D,PAW28732,FLO-PRO114M,True,7131,1710945314
3D,PAW63065,FLO-PRO114M,True,6217,1716394696
3D,PAU28927,FLO-PRO114M,True,6164,1709650033
3D,PAY00925,FLO-PRO114M,True,8123,1719320616
3D,PAO95918,FLO-PRO114M,False,1,1721315903
3D,PAU37808,FLO-PRO114M,True,7250,1710173495
3D,PAU29629,FLO-PRO114M,True,7880,1702907166
3D,PAU31290,FLO-PRO114M,True,7614,1708443614
3D,PAU80657,FLO-PRO114M,True,6591,1710172035
3D,PAK78570,FLO-PRO114M,False,4817,1717001516
3D,PBA01382,FLO-PRO114M,True,7212,1719853403
3D,PAS46687,FLO-PRO114M,True,6521,1705595341
3D,PAW71623,FLO-PRO114M,True,8629,1714483722
3D,PAQ72806,FLO-PRO114M,True,6079,1721326839
3E,PAU32287,FLO-PRO114M,True,6856,1709650036
